acm_first(value)	dblp_first(value)
"#*ACM Multimedia '94 conference workshop on multimedia database management systems #@Bruce Berra, Kingsley Nwosu, Bhavani Thuraisingham #t1995 #cACM SIGMOD Record #index539087cb20f70186a0d594f7 #!This paper describes the ACM Multimedia '94 Conference Workshop on Multimedia Database Management Systems held on 21 October 1994 in San Francisco, California. The workshop consisted of four sessions: designing multimedia database management systems, video and continuous media service, multimedia storage and retrieval management, and miscellaneous topics in multimedia data management. The workshop concluded with a discussion session on directions for multimedia database management. Twenty-eight participants from U.S.A., U.K., Germany, Norway, and Egypt attended the workshop."	#*ACM Multimedia '94 Conference Workshop on Multimedia Database Management Systems. #@P. Bruce Berra, Kingsley C. Nwosu, Bhavani M. Thuraisingham #t1995 #cSIGMOD Record #index53e9a508b7602d9702e272bb
"#*Why decision support fails and how to fix it #@Ralph Kimball, Kevin Strehlo #t1995 #cACM SIGMOD Record #index539087cf20f70186a0d5b544"	#*Why Decision Support Fails and How To Fix It. #@Ralph Kimball, Kevin Strehlo #t1995 #cSIGMOD Record #index53e99beab7602d9702491f3b
"#*Implementation aspects of an object-oriented DBMS #@Asuman Dogac, Mehmet Altinel, Cetin Ozkan, Ilker Durusoy #t1995 #cACM SIGMOD Record #index539087cb20f70186a0d594ef #%539087b320f70186a0d50c00 #%539087b320f70186a0d512ee #%539087be20f70186a0d51feb #%539087c720f70186a0d58122 #!This paper describes the design and implementation of an OODBMS, namely the METU Object-Oriented DBMS (MOOD). MOOD [Dog 94b] is developed on the Exodus Storage Manager (ESM) [ESM 92] and therefore some of the kernel functions like storage management, concurrency control, backup and recovery of data were readily available through ESM. In addition ESM has a client-server architecture and each MOOD process is a client application in ESM. The kernel functions provided by MOOD are the optimization and interpretation of SQL statements, dynamic linking of functions, and catalog management. SQL statements are interpreted whereas functions (which have been previously compiled with C++) within SQL statements are dynamically linked and executed. A query optimizer is implemented by using the Volcano Query Optimizer Generator. A graphical user interface, namely Mood-View [Arp 93a, Arp 93b], is developed using Motif. MoodView displays both the schema information and the query results graphically. Additionally it is possible to update the database schema and to traverse the references in query results graphically.The system is coded in GNU C++ on Sun Sparc 2 workstations. MOOD has a SQL-like object-oriented query language, namely MOODSQL [Ozk 93b, Dog 94c]. MOOD type system is derived from C++, thus eliminating the impedance mismatch between MOOD and C++. The users can also access the MOOD Kernel from their application programs written in C++. For this purpose MOOD Kernel defines a class named UserRequest that contains a method for the execution of MOODSQL statements. The MOOD source code is available both for anonymous ftp users from ftp.cs.wisc.edu and for the WWW users from the site http://www.srdc.metu.edu.tr along with its related documents.In MOOD, each object is given a unique Object Identifier (OID) at object creation time by the ESM which is the disk start address of the object returned by the ESM. Object encapsulation is considered in two parts, method encapsulation and attribute encapsulation. These encapsulation properties are similar to the public and private declarations of C++.Methods can be defined in C++ by users to manipulate user defined classes and after compilation, they are dynamically linked and executed during the interpretation of SQL statements. This late binding facility is essential since database environments enforce run-time modification of schema and objects. With our approach, the interpretation of functions are avoided thus increasing the efficiency of the system. Dynamic linking primitives are implemented by the use of the shared object facility of SunOS [Sun 90]. Overloading is realized by making use of the signature concept of C++."	#*Implementation Aspects of an Object-Oriented DBMS. #@Asuman Dogac, Mehmet Altinel, Cetin Ozkan, Ilker Durusoy #t1995 #cSIGMOD Record #index53e9b95bb7602d9704549f06 #%53e9b9c7b7602d97045be60c
"#*Implementing deletion in B+-trees #@Jan Jannink #t1995 #cACM SIGMOD Record #index539087cb20f70186a0d594f3 #%539087aa20f70186a0d4b503 #%539087ae20f70186a0d4dc02 #%539087b320f70186a0d4eee2 #%539087be20f70186a0d52543 #%539087be20f70186a0d5398b #%5390878a20f70186a0d36936 #%5390878e20f70186a0d3a318 #%5390878e20f70186a0d3a316 #%5390879220f70186a0d3c62b #%5390879220f70186a0d3d636 #%5390879520f70186a0d3dd5f #%5390880720f70186a0d7a46a #%5390881d20f70186a0d834fc #%5390882420f70186a0d883cc #%539088b820f70186a0d8ffcc #%539088b920f70186a0d911df #!This paper describes algorithms for key deletion in B+-trees. There are published algorithms and pseudocode for searching and inserting keys, but deletion, due to its greater complexity and perceived lesser importance, is glossed over completely or left as an exercise to the reader. To remedy this situation, we provide a well documented flowchart, algorithm, and pseudo-code for deletion, their relation to search and insertion algorithms, and a reference to a freely available, complete B+-tree library written in the C programming language."	#*Implementing Deletion in B+-Trees. #@Jan Jannink #t1995 #cSIGMOD Record #index53e9a905b7602d9703253c45 #%53e9a7ddb7602d970311c4bd #%53e9b3c8b7602d9703eb56a5 #%53e9b321b7602d9703ded28e #%53e997f4b7602d9701ff7484 #%53e9abb9b7602d9703568485 #%53e9b6c4b7602d9704251c90 #%53e9b179b7602d9703c01162 #%53e9aa73b7602d97033e8f79 #%53e9ad4eb7602d9703731507 #%53e9b587b7602d97040c828b #%53e99a2bb7602d9702285b97
"#*Information finding in a digital library: the Stanford perspective #@Tak W. Yan, Héctor García-Molina #t1995 #cACM SIGMOD Record #index539087cf20f70186a0d5b540 #%539087a120f70186a0d4750a #%53909eef20f70186a0e36634 #%539087aa20f70186a0d4aee6 #%539087aa20f70186a0d4aee0 #%539087aa20f70186a0d4aee7 #%539087ae20f70186a0d4cb14 #%539087ae20f70186a0d4dd7e #%539087be20f70186a0d5373c #%539087c720f70186a0d56ddf #%539087cb20f70186a0d59e22 #%539087cb20f70186a0d59e2f #%5390877920f70186a0d2d268 #%5390878e20f70186a0d3a33f #%539087d420f70186a0d5df4c #%539087fe20f70186a0d7392a #%5390881720f70186a0d7fcf6 #%5390881720f70186a0d7fcf8 #%53908a5720f70186a0da02ca #%53908a5720f70186a0da0711 #%53908a7420f70186a0da38e2 #%53908a9620f70186a0da4ced #%53908a9620f70186a0da4d7a #%53908bad20f70186a0dc29e7 #!In a digital library one of the most challenging problems is finding relevant information. Information finding is the research focus of the Stanford component of the ARPA-sponsored CS-TR Project, and the work has continued as one of the main thrusts in the Stanford Integrated Digital Library project [14]. In this paper we discuss some of the emerging issues in information finding, such as text-database discovery, efficient information dissemination, and copy detection and removal. We also outline our approaches to these issues."	#*Information Finding in a Digital Library: The Stanford Perspective. #@Tak W. Yan, Hector Garcia-Molina #t1995 #cSIGMOD Record #index53e9a5beb7602d9702eea180 #%53e99b78b7602d9702421502 #%53e99f03b7602d97027d1bef #%53e9a216b7602d9702b17593 #%53e9b7e0b7602d970438df55 #%53e9aaa2b7602d970341a4bd #%53e9bdc7b7602d9704a79075 #%53e9bc79b7602d97048f6349 #%53e9979bb7602d9701f66d45 #%53e9b5f3b7602d97041469e4 #%53e99f02b7602d97027cfa07 #%53e9abb9b7602d9703567aca #%53e9ab5ab7602d97034f395d #%53e9a343b7602d9702c4f5e3 #%53e9bd92b7602d9704a39044 #%53e9b708b7602d97042a14f1 #%53e9b95bb7602d97045473c8 #%53e99ea7b7602d97027701a1 #%53e9b2d7b7602d9703d88dd7
"#*Turmoil at NASA, and numerous funding announcements #@Xiaolei Qian #t1995 #cACM SIGMOD Record #index539087cf20f70186a0d5b543 #!Since the last issue of this column six months ago, there have been many interesting program announcements, some of which have already passed deadline. We'll go over these announcements anyway, with the hope that they can get the readers better prepared for future funding opportunities. But first, we'll talk about the continuing budget battle at Congress, and the recent turmoil at NASA."	#*Turmoil at NASA, and Numerous Funding Announcements. #@Xiaolei Qian #t1995 #cSIGMOD Record #index53e9b6c4b7602d970424fff3
"#*An introduction to Remy's fast polymorphic record projection #@Limsoon Wong #t1995 #cACM SIGMOD Record #index539087cf20f70186a0d5b53b #%539087a620f70186a0d49e6d #%539087aa20f70186a0d4be80 #%539087c320f70186a0d548f1 #%5390877920f70186a0d2cbbc #%5390877920f70186a0d2d9ad #%5390877f20f70186a0d30f9d #%5390878a20f70186a0d36a94 #%5390878e20f70186a0d3ae67 #%5390879220f70186a0d3cbef #%5390879220f70186a0d3cbe4 #%539087f820f70186a0d72cd2 #%539088b820f70186a0d907a5 #%53908a5720f70186a0da0a37 #!Traditionally, a record projection is compiled when all fields of the record are known in advance. The need to know all fields in advance leads to very clumsy programs, especially for querying external data sources. In a paper that had not been widely circulated in the database community, Remy presented in programming language context a constant-time implementation of the record projection operation that does not have such a requirement. This paper introduces his technique and suggests an improvement to his technique in the context of database queries."	#*An Introduction to Remy's Fast Polymorphic Record Projection. #@Limsoon Wong #t1995 #cSIGMOD Record #index53e9b700b7602d97042950b9 #%53e9b3b1b7602d9703e9394d #%53e9ac5bb7602d9703629504 #%53e9978ab7602d9701f47d39 #%53e9ab6fb7602d970350df83 #%53e9b56cb7602d97040a446b #%53e9af61b7602d97039a2c7d #%53e999d2b7602d9702215fb0 #%53e997a2b7602d9701f73e89 #%53e99a74b7602d97022e5f14
"#*Florida International University High Performance Database Research Center #@Naphtali Rishe, Wei Sun, David Barton, Yi Deng, Cyril Orji, Michael Alexopoulos, Leonardo Loureiro, Carlos Ordonez, Mario Sanchez, Artyom Shaposhnikov #t1995 #cACM SIGMOD Record #index539087cf20f70186a0d5b541"	#*Florida International University High Performance Database Research Center. #@Naphtali Rishe, Wei Sun 0002, David Barton, Yi Deng, Cyril U. Orji, Michael Alexopoulos, Leonard Loureiro, Carlos Ordonez 0002, Mario Sanchez, Artyom Shaposhnikov #t1995 #cSIGMOD Record #index53e99be3b7602d970248e2e6
"#*Addressing techniques used in database object managers O2 and ORION #@André Gamache, Nadjiba Sahraoui #t1995 #cACM SIGMOD Record #index539087cf20f70186a0d5b53e #!Addressing mechanisms used by the new generation of Data Base Management Systems (DBMS) differ significantly from traditional ones. Such changes are the direct result of new applications requirements such as office information systems (OIS) and computer aided design (CAD). In this context, object format requires different representations on disk and in main memory, and this is often valid for interobject references. It is evident that these mechanisms are closely linked to the mode of object-identity implementation, as well as clustering strategies. All of these functions are controlled by the object manager.This article describes these mechanisms through the implementation of two object managers for object-oriented DBMS: O2 and ORION. We show how the performance of these systems depends on their memory management and addressing scheme. The two managers to be discussed merges techniques proposed by both data base field and object-oriented programming field. Their own mechanism differs, according to the way it handles distribution. ORION-1SX and O2 have a Client/Server architecture, but each one uses a different approach for distributing of functionalities. ORION-1SX implements an object-server, whereas O2 uses a page-server approach. An analysis of the two systems shows that they both use a two-level addressing mechanism. buffer management for objects in memory is diffent and more complex in ORION. On the other hand, the clustering strategies in O2 have the advantage of being more dynamic and can be specified outside the schema."	#*Addressing Techniques Used in Database Object Managers O2 and Orion. #@André Gamache, Nadjiba Sahraoui #t1995 #cSIGMOD Record #index53e9a0fbb7602d97029e46ea
"#*An annotated bibliography of benchmarks for object databases #@Akmal B. Chaudhri #t1995 #cACM SIGMOD Record #index539087cb20f70186a0d594f5 #%539087a520f70186a0d48b24 #%539087c320f70186a0d542c0 #%5390877f20f70186a0d301f9 #%5390882120f70186a0d8537e #%53908a9620f70186a0da4ebc #!This annotated bibliography presents a collection of published papers, technical reports, Master's and PhD Theses that have investigated various aspects of object database performance."	#*An Annotated Bibliography of Benchmarks for Object Databases. #@Akmal B. Chaudhri #t1995 #cSIGMOD Record #index53e99d21b7602d97025d4bcd #%53e9ba1cb7602d9704623e41
